date,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북,합계 : 관용
2020-01,"4,828","11,164","5,052","5,776","1,454","2,692","1,272","3,230","7,936",438,"1,278","2,566","4,826","4,014","2,070","4,618","3,054","66,268"
2020-02,"4,848","11,220","5,086","5,832","1,418","2,660","1,250","3,228","7,974",438,"1,290","2,596","4,904","4,046","2,066","4,672","3,084","66,612"
2020-03,"4,912","11,330","5,110","5,918","1,436","2,690","1,260","3,258","8,044",446,"1,298","2,624","4,920","4,112","2,070","4,698","3,114","67,240"
2020-04,"4,946","11,358","5,138","5,946","1,450","2,702","1,266","3,270","8,062",446,"1,294","2,626","4,916","4,120","2,068","4,710","3,134","67,452"
2020-05,"4,982","11,352","5,152","5,932","1,464","2,748","1,266","3,272","8,058",452,"1,288","2,646","4,940","4,130","2,078","4,750","3,144","67,654"
2020-06,"4,976","11,412","5,164","5,998","1,470","2,768","1,276","3,296","8,122",462,"1,290","2,678","4,946","4,170","2,084","4,738","3,174","68,024"
2020-07,"4,978","11,350","5,142","5,982","1,438","2,736","1,284","3,250","8,112",460,"1,288","2,668","4,946","4,148","2,082","4,746","3,172","67,782"
2020-08,"4,948","11,326","5,126","5,936","1,434","2,752","1,280","3,250","8,104",450,"1,286","2,660","4,964","4,136","2,072","4,744","3,172","67,640"
2020-09,"4,960","11,290","5,146","5,922","1,452","2,746","1,286","3,238","8,084",450,"1,292","2,696","4,986","4,158","2,074","4,750","3,174","67,704"
2020-10,"4,966","11,290","5,146","5,896","1,440","2,770","1,280","3,214","8,030",450,"1,288","2,668","4,970","4,134","2,082","4,740","3,144","67,508"
2020-11,"4,940","11,208","5,124","5,886","1,434","2,778","1,272","3,188","7,938",450,"1,280","2,640","4,908","4,130","2,076","4,714","3,108","67,074"
2020-12,"4,930","11,170","5,148","5,892","1,422","2,730","1,268","3,176","7,874",450,"1,278","2,622","4,856","4,112","2,070","4,694","3,090","66,782"
2021-01,"4,936","11,166","5,172","5,866","1,428","2,708","1,268","3,168","7,856",450,"1,278","2,624","4,854","4,104","2,072","4,694","3,086","66,730"
2021-02,"4,906","11,176","5,180","5,882","1,430","2,708","1,268","3,178","7,850",458,"1,280","2,610","4,846","4,126","2,084","4,696","3,088","66,766"
2021-03,"4,916","11,178","5,176","5,892","1,422","2,702","1,264","3,198","7,840",472,"1,290","2,624","4,856","4,144","2,054","4,722","3,094","66,844"
2021-04,"4,962","11,156","5,190","5,888","1,414","2,704","1,274","3,190","7,822",482,"1,286","2,642","4,874","4,158","2,064","4,716","3,108","66,930"
2021-05,"4,960","11,162","5,208","5,910","1,422","2,716","1,274","3,192","7,804",494,"1,284","2,660","4,918","4,142","2,064","4,744","3,106","67,060"
2021-06,"4,990","11,238","5,236","5,956","1,434","2,756","1,254","3,190","7,834",494,"1,278","2,676","4,964","4,136","2,046","4,718","3,118","67,318"
2021-07,"5,008","11,274","5,246","5,966","1,454","2,770","1,238","3,200","7,830",492,"1,274","2,676","5,000","4,134","2,042","4,728","3,126","67,458"
2021-08,"5,004","11,258","5,206","5,962","1,442","2,758","1,236","3,180","7,814",490,"1,278","2,666","5,006","4,140","2,040","4,732","3,120","67,332"
2021-09,"5,012","11,284","5,200","5,956","1,446","2,734","1,230","3,172","7,830",488,"1,282","2,668","4,992","4,132","2,048","4,758","3,142","67,374"
2021-10,"5,022","11,258","5,194","5,938","1,448","2,720","1,218","3,170","7,822",488,"1,280","2,664","4,980","4,132","2,044","4,746","3,138","67,262"
2021-11,"5,070","11,246","5,210","5,934","1,464","2,722","1,232","3,186","7,848",492,"1,286","2,686","5,038","4,130","2,042","4,756","3,138","67,480"
2021-12,"5,070","11,216","5,240","5,942","1,544","2,738","1,222","3,166","7,922",492,"1,270","2,676","5,026","4,150","2,026","4,750","3,150","67,600"
2022-01,"5,066","11,246","5,252","5,920","1,568","2,762","1,752","3,178","7,904",490,"1,274","2,670","5,004","4,164","2,030","4,774","3,142","68,196"
2022-02,"5,056","11,228","5,238","5,902","1,568","2,746","1,768","3,168","7,860",490,"1,274","2,676","4,994","4,170","2,030","4,766","3,140","68,074"
2022-03,"5,046","11,232","5,194","5,890","1,556","2,726","1,776","3,152","7,832",490,"1,264","2,674","4,974","4,166","2,026","4,766","3,134","67,898"
2022-04,"5,038","11,252","5,202","5,864","1,576","2,724","1,774","3,144","7,778",490,"1,270","2,654","4,966","4,152","2,010","4,760","3,144","67,798"
2022-05,"5,054","11,232","5,212","5,878","1,576","2,736","1,780","3,144","7,756",494,"1,268","2,666","4,996","4,158","2,002","4,742","3,138","67,832"
2022-06,"5,080","11,246","5,252","5,928","1,612","2,746","1,786","3,150","7,818",506,"1,276","2,686","5,048","4,228","2,004","4,738","3,134","68,238"
2022-07,"5,106","11,284","5,274","5,980","1,618","2,744","1,782","3,180","7,852",506,"1,286","2,692","5,110","4,252","2,022","4,762","3,152","68,602"
2022-08,"5,144","11,290","5,296","5,966","1,614","2,738","1,782","3,176","7,844",514,"1,290","2,700","5,136","4,252","2,024","4,784","3,172","68,722"
2022-09,"5,166","11,342","5,308","5,992","1,600","2,746","1,790","3,166","7,862",514,"1,290","2,694","5,166","4,272","2,020","4,792","3,184","68,904"
2022-10,"5,206","11,406","5,336","6,010","1,586","2,742","1,788","3,196","7,910",514,"1,296","2,706","5,186","4,294","2,020","4,790","3,192","69,178"
2022-11,"5,248","11,398","5,354","6,006","1,600","2,770","1,778","3,210","7,900",514,"1,298","2,706","5,192","4,340","2,004","4,798","3,190","69,306"
2022-12,"5,252","11,418","5,362","5,978","1,602","2,772","1,756","3,160","7,858",510,"1,264","2,716","5,188","4,330","2,008","4,816","3,184","69,174"
2023-01,"5,240","11,418","5,372","6,014","1,610","2,760","1,750","3,166","7,828",512,"1,266","2,712","5,212","4,358","2,004","4,814","3,202","69,238"
2023-02,"5,244","11,414","5,352","5,964","1,622","2,760","1,746","3,150","7,794",518,"1,270","2,716","5,238","4,354","2,020","4,816","3,208","69,186"
2023-03,"5,244","11,436","5,334","5,966","1,606","2,752","1,738","3,160","7,776",516,"1,268","2,690","5,250","4,346","2,022","4,848","3,198","69,150"
2023-04,"5,242","11,444","5,372","5,992","1,610","2,754","1,744","3,160","7,800",506,"1,276","2,710","5,270","4,342","2,022","4,860","3,194","69,298"
2023-05,"5,280","11,534","5,414","6,038","1,624","2,750","1,748","3,206","7,858",518,"1,280","2,724","5,318","4,368","2,020","4,862","3,224","69,766"
2023-06,"5,300","11,554","5,442","6,090","1,640","2,756","1,746","3,214","7,866",518,"1,286","2,720","5,336","4,374","2,030","4,882","3,222","69,976"
2023-07,"5,322","11,524","5,450","6,026","1,642","2,842","1,750","3,228","7,870",518,"1,302","2,730","5,344","4,410","2,068","4,876","3,242","70,144"
2023-08,"5,348","11,520","5,442","6,030","1,632","2,838","1,758","3,226","7,858",512,"1,308","2,720","5,364","4,412","2,064","4,878","3,234","70,144"
2023-09,"5,354","11,530","5,460","6,020","1,664","2,868","1,768","3,234","7,886",516,"1,316","2,730","5,366","4,424","2,076","4,886","3,240","70,338"
2023-10,"5,368","11,580","5,474","6,084","1,682","2,898","1,778","3,242","7,888",518,"1,322","2,720","5,396","4,436","2,070","4,912","3,268","70,636"
2023-11,"5,376","11,538","5,442","6,134","1,692","2,912","1,776","3,232","7,930",514,"1,308","2,716","5,436","4,464","2,074","4,918","3,262","70,724"
2023-12,"5,368","11,532","5,412","6,118","1,694","2,928","1,790","3,232","7,868",514,"1,310","2,716","5,424","4,470","2,078","4,922","3,260","70,636"
2024-01,"5,356","11,512","5,408","6,120","1,688","2,940","1,802","3,230","7,850",522,"1,296","2,726","5,430","4,490","2,072","4,910","3,246","70,598"
2024-02,"5,372","11,496","5,384","6,130","1,684","2,938","1,816","3,226","7,818",522,"1,300","2,738","5,418","4,492","2,066","4,912","3,260","70,572"
2024-03,"5,380","11,516","5,406","6,144","1,678","2,948","1,814","3,228","7,800",518,"1,306","2,732","5,424","4,492","2,064","4,908","3,252","70,610"
2024-04,"5,412","11,514","5,488","6,156","1,688","2,942","1,814","3,258","7,832",518,"1,308","2,736","5,440","4,500","2,072","4,940","3,266","70,884"
2024-05,"5,400","11,520","5,500","6,128","1,682","2,926","1,820","3,252","7,848",534,"1,308","2,742","5,454","4,522","2,070","4,956","3,266","70,928"
2024-06,"5,414","11,518","5,512","6,120","1,680","2,926","1,820","3,254","7,840",536,"1,312","2,742","5,498","4,562","2,078","4,968","3,292","71,072"
