date,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북,합계 : 계
2020-01,"6,422","36,454","15,896","15,960","5,488","6,052","5,006","21,104","16,558",754,"5,524","14,270","14,104","7,692","2,714","9,746","8,212","191,956"
2020-02,"6,458","36,640","15,986","16,038","5,548","6,114","5,056","21,126","16,692",756,"5,556","14,284","14,136","7,806","2,740","9,798","8,274","193,008"
2020-03,"6,492","36,850","16,028","16,098","5,564","6,222","5,104","21,120","16,776",770,"5,640","14,362","14,200","7,860","2,748","9,848","8,314","193,996"
2020-04,"6,556","37,352","16,136","16,238","5,584","6,270","5,140","21,188","16,912",780,"5,678","14,436","14,302","7,904","2,744","9,904","8,356","195,480"
2020-05,"6,614","37,812","16,336","16,380","5,556","6,390","5,196","21,236","16,994",810,"5,714","14,568","14,444","7,962","2,746","9,986","8,444","197,188"
2020-06,"6,724","38,346","16,514","16,596","5,624","6,514","5,248","21,332","17,258",814,"5,786","14,652","14,550","8,060","2,762","10,156","8,566","199,502"
2020-07,"6,830","39,224","16,754","16,564","5,720","6,630","5,334","21,438","17,430",836,"5,844","14,776","14,638","8,138","2,766","10,240","8,676","201,838"
2020-08,"6,898","40,562","16,950","15,830","5,786","6,802","5,360","21,584","17,438",852,"5,870","14,862","14,738","8,202","2,780","10,358","8,778","203,650"
2020-09,"6,960","41,368","17,060","15,954","5,842","6,952","5,428","21,680","17,558",876,"5,890","14,958","14,840","8,298","2,810","10,548","8,868","205,890"
2020-10,"7,072","41,880","17,150","16,146","5,874","7,074","5,516","21,792","17,636",898,"5,934","15,044","14,928","8,376","2,820","10,646","8,940","207,726"
2020-11,"7,178","42,482","17,280","16,300","5,924","7,194","5,570","21,874","17,768",944,"5,978","15,256","15,026","8,416","2,836","10,790","9,044","209,860"
2020-12,"7,304","43,108","17,444","16,460","5,980","7,282","5,604","21,978","17,860",960,"6,002","15,278","15,232","8,490","2,834","10,910","9,148","211,874"
2021-01,"7,434","43,750","17,674","16,650","6,030","7,358","5,648","22,104","17,932","1,012","6,054","15,442","15,356","8,600","2,838","11,098","9,274","214,254"
2021-02,"7,486","44,288","17,786","16,740","6,086","7,466","5,746","22,212","18,096","1,054","6,092","15,520","15,482","8,648","2,858","11,238","9,410","216,208"
2021-03,"7,604","44,786","17,898","16,914","6,114","7,626","5,820","22,264","18,250","1,098","6,136","15,628","15,614","8,762","2,890","11,440","9,522","218,366"
2021-04,"7,676","45,440","17,950","17,076","6,198","7,736","5,870","22,332","18,400","1,118","6,192","15,714","15,670","8,834","2,984","11,568","9,654","220,412"
2021-05,"7,762","45,962","17,982","17,130","6,244","7,878","5,932","22,414","18,634","1,130","6,240","15,824","15,764","8,880","3,002","11,746","9,722","222,246"
2021-06,"7,874","46,446","18,156","17,292","6,290","7,988","6,028","22,454","18,914","1,168","6,226","15,972","15,864","8,984","3,120","11,932","9,880","224,588"
2021-07,"7,968","47,146","18,280","17,480","6,386","8,106","6,090","22,550","19,138","1,222","6,270","16,114","16,012","9,060","3,128","12,110","10,014","227,074"
2021-08,"8,008","47,782","18,400","17,630","6,438","8,198","6,174","22,698","19,262","1,266","6,304","16,252","16,092","9,142","3,286","12,192","10,060","229,184"
2021-09,"8,118","48,366","18,528","17,782","6,472","8,286","6,234","22,780","19,392","1,286","6,350","16,320","16,244","9,212","3,296","12,270","10,150","231,086"
2021-10,"8,248","48,878","18,622","17,926","6,556","8,364","6,298","22,824","19,450","1,332","6,414","16,430","16,332","9,284","3,328","12,486","10,220","232,992"
2021-11,"8,354","49,358","18,744","18,074","6,610","8,414","6,376","22,834","19,592","1,356","6,482","16,474","16,424","9,430","3,448","12,658","10,304","234,932"
2021-12,"8,480","49,810","18,850","18,204","6,630","8,536","6,428","22,938","19,742","1,388","6,536","16,612","16,560","9,550","3,470","12,860","10,426","237,020"
2022-01,"8,554","50,334","19,096","18,430","6,696","8,648","6,466","23,084","19,958","1,396","6,586","16,706","16,656","9,640","3,494","12,874","10,578","239,196"
2022-02,"8,672","50,884","19,256","18,592","6,772","8,748","6,514","23,184","20,068","1,432","6,604","16,782","16,712","9,734","3,512","12,918","10,646","241,030"
2022-03,"8,764","51,556","19,404","18,802","6,882","8,786","6,588","23,270","20,242","1,448","6,668","16,852","16,796","9,832","3,548","13,076","10,742","243,256"
2022-04,"8,862","52,176","19,520","18,908","6,892","8,844","6,648","23,340","20,568","1,468","6,686","16,916","16,866","9,888","3,596","13,200","10,830","245,208"
2022-05,"9,008","52,736","19,708","18,938","6,968","8,956","6,704","23,352","20,694","1,502","6,734","17,002","16,888","10,022","3,702","13,376","10,914","247,204"
2022-06,"9,082","53,252","19,852","19,074","7,042","9,020","6,768","23,414","20,880","1,512","6,806","17,098","16,932","10,112","3,706","13,554","11,066","249,170"
2022-07,"9,200","53,744","19,962","19,300","7,082","9,094","6,870","23,540","21,076","1,546","6,846","17,236","17,092","10,210","3,786","13,720","11,148","251,452"
2022-08,"9,292","54,182","20,092","19,394","7,126","9,196","6,924","23,630","21,280","1,548","6,878","17,314","17,204","10,340","3,836","13,862","11,248","253,346"
2022-09,"9,330","54,748","20,226","19,558","7,228","9,252","6,972","23,742","21,444","1,566","6,904","17,368","17,276","10,430","3,860","13,998","11,358","255,260"
2022-10,"9,394","55,242","20,292","19,706","7,232","9,294","7,036","23,842","21,468","1,606","6,910","17,444","17,402","10,524","3,894","14,112","11,426","256,824"
2022-11,"9,500","55,676","20,358","19,898","7,298","9,328","7,072","23,908","21,538","1,620","6,952","17,596","17,496","10,646","3,914","14,218","11,500","258,518"
2022-12,"9,542","56,060","20,464","20,018","7,366","9,390","7,080","23,982","21,660","1,622","6,964","17,738","17,532","10,758","3,952","14,316","11,638","260,082"
2023-01,"9,614","56,464","20,582","20,108","7,386","9,428","7,128","24,054","21,690","1,634","6,984","17,828","17,634","10,828","3,998","14,324","11,698","261,382"
2023-02,"9,696","56,652","20,678","20,212","7,462","9,468","7,176","24,048","21,822","1,638","7,002","17,934","17,686","10,906","4,014","14,360","11,774","262,528"
2023-03,"9,798","57,060","20,782","20,346","7,512","9,476","7,180","24,074","22,008","1,648","7,026","18,000","17,764","10,964","4,056","14,386","11,876","263,956"
2023-04,"9,880","57,418","20,790","20,416","7,552","9,490","7,246","24,084","22,098","1,636","7,076","18,052","17,850","11,022","4,132","14,476","11,966","265,184"
2023-05,"9,992","57,782","20,866","20,470","7,586","9,558","7,292","24,108","22,260","1,632","7,104","18,084","17,944","11,064","4,136","14,570","12,036","266,484"
2023-06,"10,068","58,212","21,000","20,616","7,630","9,638","7,350","24,180","22,436","1,654","7,124","18,150","18,012","11,104","4,146","14,680","12,114","268,114"
2023-07,"10,150","58,606","21,120","20,640","7,690","9,834","7,376","24,232","22,494","1,648","7,156","18,270","18,088","11,114","4,218","14,796","12,140","269,572"
2023-08,"10,226","59,104","21,232","20,728","7,758","9,902","7,378","24,296","22,504","1,660","7,182","18,300","18,112","11,172","4,320","14,890","12,214","270,978"
2023-09,"10,302","59,404","21,372","20,818","7,788","9,974","7,388","24,380","22,558","1,668","7,212","18,336","18,142","11,228","4,358","14,992","12,284","272,204"
2023-10,"10,350","59,644","21,486","20,866","7,870","10,072","7,450","24,452","22,640","1,680","7,208","18,436","18,174","11,264","4,364","15,060","12,340","273,356"
2023-11,"10,402","59,970","21,592","20,964","7,932","10,090","7,518","24,496","22,652","1,686","7,238","18,482","18,252","11,382","4,382","15,154","12,390","274,582"
2023-12,"10,592","60,450","21,666","21,076","7,946","10,142","7,580","24,540","22,778","1,674","7,258","18,510","18,364","11,426","4,384","15,182","12,482","276,050"
2024-01,"10,708","60,668","21,760","21,178","8,028","10,236","7,548","24,620","22,818","1,678","7,298","18,590","18,432","11,516","4,416","15,282","12,648","277,424"
2024-02,"10,780","60,952","21,864","21,324","8,052","10,282","7,596","24,690","22,800","1,690","7,322","18,612","18,506","11,594","4,420","15,358","12,662","278,504"
2024-03,"10,786","61,306","21,966","21,374","8,056","10,324","7,636","24,620","22,908","1,690","7,346","18,670","18,566","11,636","4,472","15,412","12,746","279,514"
2024-04,"10,890","61,584","22,058","21,392","8,046","10,404","7,664","24,618","22,878","1,708","7,390","18,710","18,538","11,696","4,476","15,498","12,798","280,348"
2024-05,"10,930","61,868","22,094","21,466","8,094","10,406","7,740","24,634","22,958","1,732","7,398","18,790","18,566","11,754","4,484","15,548","12,830","281,292"
2024-06,"10,948","62,068","22,160","21,496","8,138","10,466","7,742","24,692","23,056","1,744","7,426","18,836","18,642","11,796","4,542","15,682","12,848","282,282"
